City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
155,Upernavik,GL,2021-04-16 19:51:21,72.7868,-56.1549,-2.63,85,100,8.9
156,Buala,SB,2021-04-16 19:51:21,-8.145,159.5921,80.29,84,36,3.91
157,Codrington,AU,2021-04-16 19:51:21,-38.2667,141.9667,54.07,68,100,6.29
158,Geraldton,AU,2021-04-16 19:51:21,-28.7667,114.6,62.6,48,40,6.91
159,Aklavik,CA,2021-04-16 19:51:00,68.2191,-135.0107,23.0,63,75,0.87
160,Labuhan,ID,2021-04-16 19:51:22,-6.8844,112.2051,76.82,86,70,7.85
161,Avarua,CK,2021-04-16 19:50:17,-21.2078,-159.775,82.4,74,10,3.44
162,Chapais,CA,2021-04-16 19:47:55,49.7834,-74.8492,53.6,28,90,9.22
163,Cidreira,BR,2021-04-16 19:50:19,-30.1811,-50.2056,73.18,72,99,7.54
164,Ushirombo,TZ,2021-04-16 19:51:23,-3.4919,31.9639,63.25,96,100,3.62
165,Hilton Head Island,US,2021-04-16 19:48:59,32.2163,-80.7526,63.0,48,90,5.75
166,Narsaq,GL,2021-04-16 19:51:23,60.9167,-46.05,23.0,33,20,32.21
167,Kruisfontein,ZA,2021-04-16 19:47:02,-34.0033,24.7314,62.01,62,0,8.01
168,Kamien Pomorski,PL,2021-04-16 19:51:23,53.9685,14.7726,43.0,75,0,9.22
169,Havre-Saint-Pierre,CA,2021-04-16 19:51:24,50.2334,-63.5986,35.6,64,1,11.5
170,Miandrivazo,MG,2021-04-16 19:51:24,-19.5167,45.4667,73.74,89,71,2.3
171,Sioux Lookout,CA,2021-04-16 19:51:25,50.1001,-91.917,46.4,27,75,11.5
172,Black Diamond,US,2021-04-16 19:51:25,47.3087,-122.0032,77.0,24,0,1.99
173,Bengkulu,ID,2021-04-16 19:50:41,-3.8004,102.2655,74.89,90,99,2.82
174,Nanortalik,GL,2021-04-16 19:51:25,60.1432,-45.2371,21.9,53,66,48.43
175,Pacific Grove,US,2021-04-16 19:50:14,36.6177,-121.9166,57.2,62,1,10.36
176,College,US,2021-04-16 19:47:51,64.8569,-147.8028,37.4,60,1,1.52
177,Kiunga,PG,2021-04-16 19:51:26,-6.1219,141.2906,73.13,99,100,1.54
178,Vilyuysk,RU,2021-04-16 19:51:26,63.7553,121.6247,22.82,81,94,13.15
179,Paamiut,GL,2021-04-16 19:51:27,61.994,-49.6678,17.24,73,61,24.65
180,Egvekinot,RU,2021-04-16 19:50:55,66.3167,-179.1667,26.17,98,100,9.06
181,Cap Malheureux,MU,2021-04-16 19:47:42,-19.9842,57.6142,80.01,83,21,4.0
182,Harer,ET,2021-04-16 19:51:27,9.3094,42.1258,65.35,56,68,4.32
183,Sao Joao Da Barra,BR,2021-04-16 19:51:27,-21.6403,-41.0511,80.6,61,40,14.97
184,Weligama,LK,2021-04-16 19:51:28,5.9667,80.4167,76.66,87,100,3.36
185,Lavrentiya,RU,2021-04-16 19:51:28,65.5833,-171.0,31.57,93,99,10.83
186,Surajgarh,IN,2021-04-16 19:51:28,28.3124,75.7347,75.16,46,8,7.58
187,Iroquois Falls,CA,2021-04-16 19:51:29,48.7669,-80.6831,44.6,57,75,12.66
188,Moanda,GA,2021-04-16 19:51:29,-1.5575,13.2178,72.59,96,99,4.09
189,Sao Filipe,CV,2021-04-16 19:51:29,14.8961,-24.4956,71.71,76,0,13.33
190,Solton,RU,2021-04-16 19:51:29,52.8429,86.4787,37.47,93,99,3.11
191,Brookings,US,2021-04-16 19:47:03,44.3114,-96.7984,48.2,57,90,12.66
192,Ahipara,NZ,2021-04-16 19:51:30,-35.1667,173.1667,61.34,82,50,14.05
193,Gloucester,GB,2021-04-16 19:50:51,51.8657,-2.2431,44.01,64,80,1.99
194,Aksarka,RU,2021-04-16 19:51:30,66.5606,67.7975,10.6,91,95,5.86
195,Bonthe,SL,2021-04-16 19:46:45,7.5264,-12.505,81.45,79,24,10.16
196,Leningradskiy,RU,2021-04-16 19:51:31,69.3833,178.4167,28.78,81,100,6.46
197,Tessalit,ML,2021-04-16 19:47:35,20.1986,1.0114,94.62,7,100,6.71
198,Jamestown,US,2021-04-16 19:48:18,42.097,-79.2353,39.0,93,90,12.66
199,Serenje,ZM,2021-04-16 19:51:31,-13.2325,30.2352,57.42,86,3,5.12
200,Luderitz,NA,2021-04-16 19:51:32,-26.6481,15.1594,80.67,34,99,3.91
201,Poya,NC,2021-04-16 19:51:32,-21.35,165.15,73.09,87,38,5.26
202,Manoel Urbano,BR,2021-04-16 19:51:32,-8.8389,-69.2597,86.49,61,99,3.56
203,Bohuslav,UA,2021-04-16 19:51:33,49.5494,30.8744,41.4,90,100,13.06
204,Lebu,CL,2021-04-16 19:50:46,-37.6167,-73.65,58.55,71,100,11.95
205,Juneau,US,2021-04-16 19:51:33,58.3019,-134.4197,50.0,71,20,5.75
206,Yarmouth,US,2021-04-16 19:51:33,41.7057,-70.2286,42.8,81,90,24.16
207,Abalak,RU,2021-04-16 19:51:34,58.1286,68.5944,28.62,60,6,2.35
208,Altamont,US,2021-04-16 19:51:34,42.2068,-121.7372,62.01,21,1,13.8
209,Ishigaki,JP,2021-04-16 19:51:34,24.3448,124.1572,74.28,86,7,9.33
210,Vostok,RU,2021-04-16 19:51:07,46.4856,135.8833,31.86,96,94,3.58
211,Torbat-E Jam,IR,2021-04-16 19:51:35,35.244,60.6225,64.83,27,100,6.11
212,Grindavik,IS,2021-04-16 19:51:35,63.8424,-22.4338,41.0,70,75,25.32
213,Dire,ML,2021-04-16 19:51:35,12.2833,-10.9667,94.95,17,39,3.71
214,Saint-Francois,FR,2021-04-16 19:51:36,46.4154,3.9054,42.8,52,0,12.66
215,Ojinaga,MX,2021-04-16 19:51:36,29.5667,-104.4167,84.2,10,1,11.5
216,Port-Cartier,CA,2021-04-16 19:51:36,50.0334,-66.8654,39.2,60,20,16.11
217,Port-Gentil,GA,2021-04-16 19:51:37,-0.7193,8.7815,80.6,89,40,6.91
218,Kitami,JP,2021-04-16 19:51:37,43.8031,143.8908,44.26,86,38,12.17
219,Kieta,PG,2021-04-16 19:51:37,-6.2167,155.6333,77.94,90,100,8.63
220,Lensk,RU,2021-04-16 19:51:37,60.7253,114.9278,26.89,88,100,8.57
221,Kahului,US,2021-04-16 19:51:38,20.8947,-156.47,75.2,64,20,8.05
222,Tuatapere,NZ,2021-04-16 19:51:38,-46.1333,167.6833,42.01,94,57,5.01
223,Sidi Ali,DZ,2021-04-16 19:51:38,36.0998,0.4206,52.29,70,0,7.09
224,Vardenik,AM,2021-04-16 19:51:39,40.1393,45.4334,43.66,64,28,1.03
225,Ilfracombe,GB,2021-04-16 19:51:39,51.2093,-4.1134,48.0,75,100,1.01
226,Poum,NC,2021-04-16 19:51:39,-20.2333,164.0167,77.25,80,99,12.75
227,Srandakan,ID,2021-04-16 19:51:40,-7.9386,110.2506,75.83,88,77,5.17
228,Arkadak,RU,2021-04-16 19:51:40,51.9326,43.4978,54.25,82,94,2.68
229,Pemba,MZ,2021-04-16 19:51:40,-12.974,40.5178,76.59,84,100,13.27
230,Hastings,GB,2021-04-16 19:51:41,50.8552,0.5729,43.0,57,1,1.99
231,Zhuhai,CN,2021-04-16 19:51:41,22.2769,113.5678,75.2,83,40,9.22
232,Gimli,CA,2021-04-16 19:51:41,50.6336,-96.9907,41.0,42,24,6.91
233,Altamira,BR,2021-04-16 19:51:41,-3.2033,-52.2064,82.4,83,40,3.44
234,Esmeralda,CU,2021-04-16 19:51:42,21.8525,-78.1169,93.2,29,20,4.61
235,Corner Brook,CA,2021-04-16 19:51:42,48.9667,-57.9484,48.2,52,40,11.5
236,Roald,NO,2021-04-16 19:51:42,62.5833,6.1333,41.0,60,0,5.75
237,Oxford,GB,2021-04-16 19:51:43,51.7522,-1.256,46.4,57,0,4.61
238,Padang,ID,2021-04-16 19:51:43,-0.9492,100.3543,76.96,86,99,2.21
239,Keningau,MY,2021-04-16 19:51:43,5.3378,116.1602,77.0,88,20,5.75
240,Ribeira Grande,PT,2021-04-16 19:51:44,38.5167,-28.7,62.6,100,75,17.27
241,Petropavlovsk-Kamchatskiy,RU,2021-04-16 19:51:44,53.0452,158.6483,32.0,43,4,15.66
242,Westlock,CA,2021-04-16 19:51:44,54.1502,-113.8688,62.6,27,17,3.44
243,Bubaque,GW,2021-04-16 19:51:44,11.2833,-15.8333,76.89,76,1,19.15
244,Russell,US,2021-04-16 19:51:45,32.3502,-85.1999,64.4,48,75,4.61
245,Yar-Sale,RU,2021-04-16 19:51:45,66.8333,70.8333,12.11,87,90,23.62
246,Alofi,NU,2021-04-16 19:51:45,-19.0595,-169.9187,75.2,100,80,1.14
247,Bonoua,CI,2021-04-16 19:51:46,5.2741,-3.595,84.2,84,45,13.8
248,Yulara,AU,2021-04-16 19:51:46,-25.2406,130.9889,55.4,62,0,9.22
249,Kodiak,US,2021-04-16 19:51:17,57.79,-152.4072,41.0,81,90,11.5
250,Negombo,LK,2021-04-16 19:51:46,7.2083,79.8358,78.8,83,20,4.61
251,Wajir,KE,2021-04-16 19:51:47,1.7471,40.0573,86.04,52,77,11.1
252,Vestmannaeyjar,IS,2021-04-16 19:46:53,63.4427,-20.2734,42.12,67,100,28.36
253,Saint-Philippe,RE,2021-04-16 19:51:47,-21.3585,55.7679,78.8,73,94,5.75
254,Saskylakh,RU,2021-04-16 19:51:07,71.9167,114.0833,10.06,94,100,15.3
