City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
576,Yilan,TW,75.99,overcast clouds,24.756999999999998,121.75299999999999,Dar Chen Hotel
582,Porbandar,IN,89.6,few clouds,21.6422,69.6093,Lords Inn Porbandar
590,Bairiki,KI,86.0,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
591,Maragogi,BR,75.2,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
592,Mogadishu,SO,86.0,scattered clouds,2.0371,45.3438,Olympic Hotel
595,Natal,BR,77.0,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
597,Tukrah,LY,81.72,overcast clouds,32.5341,20.5791,Lokta restaurant
604,Bukid,PH,86.0,overcast clouds,5.5717,125.4056,
614,Zabid,YE,87.62,clear sky,14.1951,43.3152,دار الضيافة
615,Mount Isa,AU,86.0,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
616,Mareeba,AU,86.0,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
625,Matara,LK,85.64,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
626,Cockburn Town,TC,76.24,clear sky,21.4612,-71.1419,Osprey Beach Hotel
630,Hoi An,VN,86.0,few clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
631,Luanda,AO,77.0,scattered clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
633,Porto Velho,BR,75.2,light rain,-8.7619,-63.9039,Hotel Central
648,Lai,TD,87.78,overcast clouds,9.3952,16.2989,
650,Idah,NG,78.22,overcast clouds,7.1065,6.7342,Ubiga Hotel Idah
651,Cabiraoan,PH,85.6,overcast clouds,18.3238,122.086,Cunanan’s Residence
654,Ipixuna,BR,75.2,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
658,Voi,KE,78.67,broken clouds,-3.3945,38.563,Voi Wildlife Lodge
662,Labuhan,ID,84.65,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
664,Daru,PG,81.63,overcast clouds,-9.0763,143.2092,Daru Lodge
665,Arlit,NE,82.2,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
