City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
108,Kieta,PG,-6.2167,155.6333,80.4,85,100,7.18,light rain
109,Volchanets,RU,42.9131,132.7469,53.19,44,36,3.74,scattered clouds
110,Saint-Philippe,RE,-21.3585,55.7679,84.2,70,75,8.05,light rain
111,Geraldton,AU,-28.7667,114.6,86.0,15,100,10.36,overcast clouds
112,Atuona,PF,-9.8,-139.0333,80.83,75,100,17.31,overcast clouds
113,Birjand,IR,32.8663,59.2211,68.0,14,20,9.22,few clouds
114,Tasiilaq,GL,65.6145,-37.6368,24.8,100,90,29.93,snow
115,Atbasar,KZ,51.8,68.3333,46.08,77,77,7.4,broken clouds
116,Dabat,ET,12.9842,37.765,63.23,44,63,11.97,broken clouds
117,Hermanus,ZA,-34.4187,19.2345,63.0,63,0,5.21,clear sky
118,Clyde River,CA,70.4692,-68.5914,6.8,72,1,14.97,clear sky
119,Aksu,CN,41.1231,80.2644,67.98,28,100,1.72,overcast clouds
120,Kjollefjord,NO,70.9457,27.3465,39.06,91,99,29.75,overcast clouds
121,Yerbogachen,RU,61.2767,108.0108,14.83,61,100,16.73,overcast clouds
122,Kutum,SD,14.2,24.6667,75.15,9,76,14.12,broken clouds
123,Grindavik,IS,63.8424,-22.4338,37.4,87,75,19.57,broken clouds
124,Cape Town,ZA,-33.9258,18.4232,63.0,87,0,2.3,clear sky
125,Nuevo Progreso,MX,23.1667,-97.95,79.0,70,13,4.85,few clouds
126,Cidreira,BR,-30.1811,-50.2056,68.09,84,100,6.46,moderate rain
127,Riberalta,BO,-10.9833,-66.1,73.04,97,100,2.42,overcast clouds
128,Bay Roberts,CA,47.5999,-53.2648,33.01,91,94,8.01,overcast clouds
129,Qandala,SO,11.472,49.8728,87.13,51,5,9.51,clear sky
130,Verkhnevilyuysk,RU,63.4453,120.3167,25.3,74,88,14.94,light snow
131,Avera,US,33.194,-82.5271,55.4,100,1,4.07,clear sky
132,Joinville,BR,-26.3044,-48.8456,68.0,88,100,1.39,overcast clouds
133,Blyth,GB,55.1271,-1.5086,37.4,93,87,2.3,overcast clouds
134,Alpena,US,45.0617,-83.4327,37.0,80,1,4.61,clear sky
135,Aginskoye,RU,51.1,114.53,61.41,17,18,15.61,few clouds
136,Endicott,US,42.0984,-76.0494,39.99,100,90,8.05,overcast clouds
137,Haines Junction,CA,60.7522,-137.5108,39.2,65,100,1.14,overcast clouds
138,Samana,DO,19.2056,-69.3369,72.5,91,10,3.85,clear sky
139,Almargem Do Bispo,PT,38.8491,-9.2668,55.0,82,0,1.14,clear sky
140,Russell,US,32.3502,-85.1999,57.2,94,90,0.6,overcast clouds
141,Tagab,AF,34.855,69.6492,60.8,44,0,3.44,clear sky
142,Trelew,AR,-43.249,-65.3051,60.01,43,24,5.48,few clouds
143,Caconda,AO,-13.7333,15.0667,58.21,88,61,3.04,broken clouds
144,Inta,RU,66.0317,60.1659,26.89,78,100,10.94,overcast clouds
